school,opp_pace,opp_ortg,opp_ftr,opp_tpar,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_to_pct,opp_orb_pct,opp_ft_fga
Saint Mary's (CA),64.3,99.5,0.291,0.316,0.523,45.6,43.1,7.6,9.2,0.489,14.6,22.8,0.214
Saint Peter's,64.3,104.6,0.385,0.405,0.553,49.1,53.4,10.9,9.3,0.512,16.6,27.8,0.285
Sam Houston State,68.6,100,0.413,0.405,0.543,48.7,55.6,8.3,8.2,0.504,19,27.3,0.291
Samford,71.2,103.2,0.284,0.442,0.525,49.7,54,9.2,7.9,0.496,15.7,30.7,0.2
San Diego State,68.9,97.9,0.33,0.42,0.512,48.8,54.2,8.5,7.5,0.478,16.6,27.8,0.23
San Diego,68,98.9,0.368,0.324,0.532,48.1,44.4,9.6,9.8,0.492,16,21.8,0.266
San Francisco,67.3,99.9,0.303,0.332,0.52,47.8,43.5,7.1,10.6,0.486,15.3,25.7,0.219
San Jose State,71.3,113.7,0.272,0.478,0.576,50.3,58.9,10.9,8.1,0.562,13.6,27.7,0.178
Santa Clara,67.4,102.7,0.354,0.343,0.523,50.8,54.3,9.5,8.3,0.486,14.2,28,0.249
Savannah State,78.1,110.8,0.326,0.41,0.565,53.8,62.5,9.1,10.6,0.536,16.3,33.7,0.234
Seattle,69.7,98.5,0.377,0.331,0.509,47.7,41,8.4,7.1,0.464,14.3,25.9,0.274
Seton Hall,70.1,101.4,0.328,0.402,0.535,50,53.1,8.1,11.7,0.496,17.3,29.2,0.244
Siena,61.5,105.4,0.273,0.359,0.549,53.2,43.5,7.6,8.2,0.526,15.8,28.1,0.188
South Alabama,68.9,104.1,0.368,0.363,0.545,52.4,53.7,8.2,13.6,0.514,17.2,31.3,0.252
South Carolina State,69.2,108.9,0.395,0.398,0.586,49.4,50.8,7.9,8.6,0.558,18.3,29.6,0.277
South Carolina Upstate,69.4,107,0.385,0.358,0.557,53.3,51.5,8.9,10,0.523,16.6,31.4,0.273
South Carolina,71.2,101.3,0.392,0.395,0.535,50.1,50.5,9.4,10.2,0.49,18,31.2,0.29
South Dakota State,72.8,100.9,0.24,0.477,0.524,46.7,48.3,7.5,8.7,0.501,14.2,22.6,0.165
South Dakota,68.1,104.2,0.334,0.366,0.552,52.1,45.1,7.4,10.9,0.515,15.9,25.5,0.249
South Florida,69.5,94.5,0.426,0.374,0.522,45.3,57.9,9.8,12.8,0.481,19.2,25.3,0.293
Southeast Missouri State,70.2,107.1,0.333,0.417,0.554,51.2,54.4,8.4,10.5,0.521,15.4,28.3,0.241
Southeastern Louisiana,67.6,99.8,0.385,0.351,0.542,47.8,46.5,10.4,11.6,0.5,19,28.2,0.283
Southern California,71,101.3,0.3,0.387,0.519,51.3,55,8.1,7.6,0.491,15.7,29.9,0.204
SIU Edwardsville,71.9,109.5,0.381,0.372,0.588,51.8,52.5,9.6,7.5,0.561,17.1,28.2,0.267
Southern Illinois,66.8,100.3,0.256,0.396,0.522,49.2,51,9.5,8.6,0.496,16.5,29.1,0.179
Southern Methodist,66.5,105.6,0.295,0.411,0.532,49.1,62.2,7.3,7.7,0.5,14.9,30.8,0.214
